case_id,year,month,state,location,species,status,illnesses,hospitalizations,fatalities
36,1998,January,Hawaii,Private Home/Residence,Scombroid toxin,Confirmed,2,0.0,0.0
37,1998,January,Hawaii,Restaurant,Scombroid toxin,Confirmed,2,0.0,0.0
38,1998,January,Illinois,Restaurant,,,4,0.0,0.0
39,1998,January,Illinois,,,,11,0.0,0.0
40,1998,January,Illinois,Restaurant,,,4,1.0,
41,1998,January,Indiana,Restaurant,Shigella flexneri,Confirmed,25,3.0,0.0
42,1998,January,Maryland,Private Home/Residence,,,3,,0.0
43,1998,January,Maryland,Restaurant,Clostridium perfringens,Suspected,3,0.0,0.0
44,1998,January,Maryland,Restaurant,Salmonella enterica,Confirmed,4,0.0,0.0
45,1998,January,Maryland,Restaurant,Hepatitis A,Confirmed,21,,
46,1998,January,Maryland,Restaurant,Bacillus cereus,Suspected,3,0.0,0.0
47,1998,January,Maryland,Restaurant,,,2,,0.0
48,1998,January,Maryland,Restaurant,,,2,0.0,0.0
49,1998,January,Maryland,Restaurant,,,3,,0.0
50,1998,January,Maryland,Restaurant,Salmonella enterica,Confirmed,8,0.0,0.0
51,1998,January,Maryland,Private Home/Residence,Salmonella enterica,Confirmed,5,1.0,0.0
52,1998,January,Maryland,Restaurant,Clostridium perfringens,Suspected,4,0.0,0.0
53,1998,January,Maryland,Restaurant,,,4,0.0,0.0
54,1998,January,Massachusetts,Restaurant,Shigella sonnei,Confirmed,79,6.0,0.0
55,1998,January,Massachusetts,,,,115,0.0,0.0
56,1998,January,Michigan,,,,2,,
57,1998,January,Michigan,,,,6,,
58,1998,January,Michigan,,,,5,,
59,1998,January,Michigan,Restaurant,,,2,,
60,1998,January,Michigan,Restaurant,,,47,,
61,1998,January,Michigan,Restaurant,,,4,,0.0
62,1998,January,Michigan,Restaurant,,,5,0.0,0.0
63,1998,January,Michigan,,,,2,0.0,0.0
64,1998,January,Michigan,Restaurant,,,3,3.0,0.0
65,1998,January,Michigan,Restaurant,,,19,,
66,1998,January,Michigan,Restaurant,,,3,,
67,1998,January,Minnesota,,Shigella sonnei,Confirmed,19,0.0,0.0
68,1998,January,Minnesota,Restaurant,,,16,0.0,0.0
69,1998,January,Multistate,Private Home/Residence,Salmonella enterica,Confirmed,4,0.0,0.0
70,1998,January,New York,Restaurant,Salmonella enterica,Confirmed,3,1.0,0.0
71,1998,January,New York,,Salmonella enterica,Confirmed,2,,
72,1998,January,New York,Catering Service,,,26,0.0,0.0
73,1998,January,North Carolina,Catering Service,Norovirus genogroup I,Suspected,8,,
74,1998,January,Ohio,Restaurant,,,2,0.0,0.0
75,1998,January,Ohio,Restaurant,,,3,0.0,0.0
76,1998,January,Ohio,Restaurant,,,2,0.0,0.0
77,1998,January,Ohio,Restaurant,,,2,0.0,0.0
78,1998,January,Ohio,Restaurant,,,4,,
79,1998,January,Oregon,,Shigella boydii,Confirmed,2,,
80,1998,January,Oregon,,Salmonella enterica,Confirmed,8,0.0,0.0
81,1998,January,Pennsylvania,,,,23,0.0,0.0
82,1998,January,Pennsylvania,Restaurant,,,16,0.0,0.0
83,1998,January,Pennsylvania,Restaurant,,,17,0.0,0.0
84,1998,January,Texas,,Staphylococcus aureus,Suspected,218,,
85,1998,January,Virginia,Restaurant,,,13,0.0,0.0
86,1998,January,Washington,Restaurant,,,3,0.0,0.0
87,1998,January,Washington,Restaurant,,,3,0.0,0.0
88,1998,January,Wisconsin,Catering Service,Clostridium perfringens,Confirmed,34,0.0,0.0
89,1998,February,California,Restaurant,Salmonella enterica,Confirmed,10,1.0,0.0
90,1998,February,Colorado,Restaurant,Virus,Suspected,11,,
91,1998,February,Colorado,Restaurant,Clostridium perfringens,Confirmed,10,0.0,0.0
92,1998,February,Colorado,Restaurant,Virus,Suspected,6,,0.0
93,1998,February,Connecticut,Restaurant,Salmonella enterica,Confirmed,10,,
94,1998,February,Connecticut,School/College/University,,,38,,0.0
95,1998,February,Florida,Restaurant,Norovirus genogroup I,Suspected,39,0.0,0.0
96,1998,February,Florida,Restaurant,Clostridium perfringens,Suspected,3,0.0,0.0
97,1998,February,Florida,,,,8,0.0,0.0
98,1998,February,Florida,Restaurant,Clostridium perfringens,Suspected,3,0.0,0.0
99,1998,February,Florida,Restaurant,,,6,0.0,0.0
100,1998,February,Florida,Restaurant,,,2,1.0,0.0
101,1998,February,Florida,Grocery Store,,,4,0.0,0.0
102,1998,February,Florida,Catering Service,Norovirus genogroup I,Suspected,35,1.0,
103,1998,February,Florida,,Staphylococcus aureus,Suspected,18,0.0,0.0
104,1998,February,Florida,,,,2,0.0,0.0
105,1998,February,Florida,Restaurant,Staphylococcus aureus,Suspected,8,0.0,0.0
106,1998,February,Florida,Restaurant,,,5,0.0,0.0
107,1998,February,Florida,Restaurant,,,2,0.0,0.0
108,1998,February,Florida,,Bacillus cereus,Suspected,4,0.0,0.0
109,1998,February,Florida,Restaurant,,,2,0.0,0.0
110,1998,February,Florida,Catering Service,Bacillus cereus,Suspected,50,1.0,0.0
111,1998,February,Florida,Restaurant,,,2,,0.0
112,1998,February,Florida,Restaurant,Bacillus cereus,Suspected,43,0.0,0.0
113,1998,February,Florida,Restaurant,Bacillus cereus,Suspected,15,0.0,0.0
114,1998,February,Florida,Restaurant,,,4,0.0,0.0
115,1998,February,Florida,Restaurant,,,3,2.0,0.0
116,1998,February,Florida,Restaurant,,,3,0.0,0.0
117,1998,February,Illinois,Restaurant,,,33,0.0,0.0
118,1998,February,Indiana,,Staphylococcus aureus,Confirmed,101,0.0,0.0
119,1998,February,Indiana,Restaurant,,,9,0.0,0.0
120,1998,February,Maryland,Restaurant,,,8,0.0,0.0
121,1998,February,Maryland,Restaurant,,,3,,
122,1998,February,Maryland,Restaurant,,,6,,
123,1998,February,Maryland,Restaurant,,,2,,
124,1998,February,Maryland,Restaurant,,,2,,
125,1998,February,Maryland,Restaurant,,,17,0.0,0.0
126,1998,February,Michigan,Restaurant,,,3,,
127,1998,February,Michigan,Restaurant,,,5,,
128,1998,February,Michigan,Restaurant,,,5,,
129,1998,February,Michigan,Restaurant,,,4,,
130,1998,February,Michigan,Restaurant,,,8,,
131,1998,February,Michigan,Catering Service,,,20,,
132,1998,February,Michigan,Restaurant,,,4,0.0,0.0
133,1998,February,Michigan,Restaurant,,,2,0.0,0.0
134,1998,February,Mississippi,Restaurant,,,12,,
135,1998,February,Nebraska,Restaurant,Clostridium perfringens,Confirmed,45,0.0,0.0
136,1998,February,New Hampshire,Catering Service,,,16,,
137,1998,February,New Jersey,Restaurant,Shigella flexneri,Confirmed,10,6.0,0.0
138,1998,February,New York,Restaurant,,,8,0.0,0.0
139,1998,February,New York,Catering Service,,,23,,
140,1998,February,New York,Catering Service,,,17,0.0,0.0
141,1998,February,New York,Catering Service,,,17,1.0,0.0
142,1998,February,New York,Catering Service,,,18,,
143,1998,February,New York,Restaurant,Yersinia enterocolitica,Confirmed,9,0.0,0.0
144,1998,February,North Carolina,Catering Service,Campylobacter unknown,Confirmed,9,,
145,1998,February,North Carolina,Restaurant,,,9,,0.0
146,1998,February,Ohio,Restaurant,,,2,1.0,0.0
147,1998,February,Ohio,Restaurant,,,3,0.0,0.0
148,1998,February,Ohio,Restaurant,,,4,,
149,1998,February,Ohio,Catering Service,,,25,,
150,1998,February,Ohio,Private Home/Residence,,,2,0.0,0.0
151,1998,February,Ohio,Restaurant,,,2,0.0,0.0
152,1998,February,Ohio,Restaurant,,,3,0.0,0.0
153,1998,February,Ohio,Restaurant,,,4,0.0,0.0
154,1998,February,Ohio,Restaurant,,,4,0.0,0.0
155,1998,February,Ohio,Restaurant,,,3,1.0,0.0
156,1998,February,Ohio,Restaurant,,,2,0.0,0.0
157,1998,February,Oregon,Private Home/Residence,,,4,0.0,0.0
158,1998,February,Oregon,Nursing Home/Assisted Living Facility,Norovirus genogroup I,Suspected,29,2.0,0.0
159,1998,February,Oregon,Restaurant,,,38,0.0,0.0
160,1998,February,Oregon,Restaurant,,,15,0.0,0.0
161,1998,February,Pennsylvania,Restaurant,,,20,0.0,0.0
162,1998,February,Pennsylvania,Restaurant,,,11,0.0,0.0
163,1998,February,Pennsylvania,Restaurant,,,20,0.0,0.0
164,1998,February,Pennsylvania,Restaurant,Salmonella enterica,Confirmed,6,2.0,0.0
165,1998,February,Pennsylvania,Restaurant,,,15,0.0,0.0
166,1998,February,Texas,Camp,,,5,,
167,1998,February,Texas,Restaurant,Staphylococcus aureus,Suspected,22,,
168,1998,February,Texas,Restaurant,Hepatitis A,Confirmed,94,,1.0
169,1998,February,Washington,Restaurant,,,4,0.0,0.0
170,1998,February,Washington,Restaurant,,,2,0.0,0.0
171,1998,February,Washington,Restaurant,,,3,0.0,0.0
172,1998,March,Alabama,Restaurant,,,3,2.0,0.0
173,1998,March,Alabama,Restaurant,,,2,0.0,0.0
174,1998,March,Arkansas,Grocery Store,Streptococcus group A,Confirmed,4,4.0,
175,1998,March,California,Restaurant,Salmonella enterica,Confirmed,26,,
176,1998,March,California,,,,5,1.0,0.0
177,1998,March,California,Restaurant,Salmonella enterica,Confirmed,4,0.0,0.0
178,1998,March,California,Private Home/Residence,,,7,0.0,0.0
179,1998,March,California,Private Home/Residence,Salmonella enterica,Confirmed,6,1.0,0.0
180,1998,March,California,Private Home/Residence,Clostridium perfringens,Confirmed,48,0.0,0.0
181,1998,March,California,Restaurant,Scombroid toxin,Confirmed,6,0.0,0.0
182,1998,March,Colorado,Restaurant,Virus,Suspected,23,,
183,1998,March,Florida,Hospital,Norovirus genogroup I,Suspected,14,,
184,1998,March,Florida,Restaurant,,,11,0.0,0.0
185,1998,March,Florida,Restaurant,,,2,0.0,0.0
186,1998,March,Florida,Restaurant,Staphylococcus aureus,Suspected,2,0.0,0.0
187,1998,March,Florida,Restaurant,,,3,0.0,0.0
188,1998,March,Florida,Restaurant,,,2,0.0,0.0
189,1998,March,Florida,Restaurant,,,2,2.0,0.0
190,1998,March,Florida,Restaurant,Salmonella enterica,Suspected,2,0.0,0.0
191,1998,March,Florida,Restaurant,,,3,0.0,0.0
192,1998,March,Florida,Restaurant,,,2,,0.0
193,1998,March,Florida,Restaurant,,,2,0.0,0.0
194,1998,March,Florida,Restaurant,Norovirus genogroup I,Suspected,24,0.0,0.0
195,1998,March,Florida,Restaurant,,,2,0.0,0.0
196,1998,March,Florida,Restaurant,,,3,1.0,0.0
197,1998,March,Florida,Restaurant,Staphylococcus aureus,Suspected,2,0.0,0.0
198,1998,March,Florida,Restaurant,,,4,0.0,0.0
199,1998,March,Florida,Restaurant,,,2,0.0,0.0
200,1998,March,Florida,Restaurant,,,3,2.0,0.0
201,1998,March,Florida,Restaurant,,,2,,0.0
202,1998,March,Florida,,Bacillus cereus,Suspected,2,0.0,0.0
203,1998,March,Florida,Restaurant,,,2,0.0,0.0
204,1998,March,Florida,Restaurant,Salmonella enterica,Suspected,4,0.0,0.0
205,1998,March,Florida,Restaurant,Norovirus genogroup I,Suspected,7,0.0,0.0
206,1998,March,Florida,Restaurant,,,2,0.0,0.0
207,1998,March,Florida,Restaurant,Salmonella enterica,Suspected,3,0.0,0.0
208,1998,March,Florida,Restaurant,Norovirus genogroup I,Suspected,8,0.0,0.0
209,1998,March,Florida,School/College/University,Salmonella enterica,Confirmed,2,1.0,0.0
210,1998,March,Florida,Restaurant,Staphylococcus aureus,Suspected,3,0.0,0.0
211,1998,March,Florida,Restaurant,,,3,0.0,0.0
212,1998,March,Florida,Restaurant,,,3,0.0,0.0
213,1998,March,Florida,Restaurant,Salmonella enterica,Suspected,2,0.0,0.0
214,1998,March,Florida,Restaurant,,,2,0.0,0.0
215,1998,March,Florida,Private Home/Residence,,,2,0.0,0.0
216,1998,March,Florida,Private Home/Residence,Clostridium perfringens,Suspected,18,0.0,0.0
217,1998,March,Florida,School/College/University,Norovirus genogroup I,Confirmed,44,0.0,0.0
218,1998,March,Florida,Restaurant,Campylobacter unknown,Confirmed,4,0.0,0.0
219,1998,March,Florida,Restaurant,,,4,0.0,0.0
220,1998,March,Hawaii,Private Home/Residence,Ciguatoxin,Confirmed,2,0.0,0.0
221,1998,March,Hawaii,Restaurant,,,39,0.0,0.0
222,1998,March,Hawaii,Restaurant,Scombroid toxin,Confirmed,2,0.0,0.0
223,1998,March,Illinois,Restaurant,,,6,0.0,0.0
224,1998,March,Illinois,Restaurant,Salmonella enterica,Confirmed,2,0.0,0.0
225,1998,March,Illinois,Restaurant,Norovirus genogroup II,Confirmed,103,1.0,0.0
226,1998,March,Illinois,Restaurant,,,3,0.0,0.0
227,1998,March,Illinois,Restaurant,,,9,0.0,0.0
228,1998,March,Maryland,Restaurant,,,11,1.0,
229,1998,March,Maryland,Office/Indoor Workplace,Hepatitis A,Confirmed,5,,
230,1998,March,Maryland,Restaurant,,,3,,
231,1998,March,Maryland,Restaurant,,,3,0.0,0.0
232,1998,March,Maryland,,,,3,0.0,0.0
233,1998,March,Maryland,Restaurant,,,3,0.0,0.0
234,1998,March,Maryland,Restaurant,,,2,0.0,0.0
235,1998,March,Massachusetts,Restaurant,Salmonella enterica,Confirmed,6,,
236,1998,March,Michigan,Restaurant,,,3,,
237,1998,March,Michigan,Restaurant,,,2,,
238,1998,March,Michigan,Restaurant,,,5,,
239,1998,March,Michigan,Restaurant,,,2,0.0,0.0
240,1998,March,Michigan,Restaurant,,,2,1.0,0.0
241,1998,March,Michigan,,,,3,,
242,1998,March,Michigan,Restaurant,,,15,0.0,0.0
243,1998,March,Minnesota,Restaurant,Shigella sonnei,Confirmed,30,1.0,0.0
244,1998,March,Minnesota,Restaurant,,,7,0.0,0.0
245,1998,March,Minnesota,Restaurant,,,4,0.0,0.0
246,1998,March,New Hampshire,Catering Service,,,12,,
247,1998,March,New Mexico,Restaurant,Staphylococcus aureus,Confirmed,20,3.0,0.0
248,1998,March,New York,Restaurant,,,17,0.0,0.0
249,1998,March,New York,Restaurant,,,5,,
250,1998,March,New York,,,,47,,
251,1998,March,New York,Restaurant,,,14,0.0,0.0
252,1998,March,New York,Restaurant,,,9,0.0,0.0
253,1998,March,North Carolina,,Salmonella enterica,Confirmed,9,,
254,1998,March,North Carolina,Prison/Jail,Norovirus genogroup I,Confirmed,75,,
255,1998,March,Ohio,Restaurant,,,2,0.0,0.0
256,1998,March,Ohio,Private Home/Residence,,,8,1.0,0.0
257,1998,March,Ohio,,,,3,0.0,0.0
258,1998,March,Ohio,,,,5,0.0,0.0
259,1998,March,Ohio,,,,49,0.0,0.0
260,1998,March,Ohio,,Salmonella enterica,Confirmed,7,,
261,1998,March,Ohio,Restaurant,,,5,0.0,0.0
262,1998,March,Ohio,Restaurant,,,7,,0.0
263,1998,March,Ohio,Restaurant,,,2,0.0,0.0
264,1998,March,Ohio,Restaurant,,,3,0.0,0.0
265,1998,March,Ohio,Restaurant,Salmonella enterica,Confirmed,4,1.0,0.0
266,1998,March,Oregon,Restaurant,Norovirus genogroup I,Suspected,28,1.0,0.0
267,1998,March,Oregon,Restaurant,Staphylococcus aureus,Confirmed,5,0.0,0.0
268,1998,March,Pennsylvania,,,,16,0.0,0.0
269,1998,March,Pennsylvania,,,,3,0.0,0.0
270,1998,March,Pennsylvania,Restaurant,,,3,0.0,0.0
271,1998,March,Pennsylvania,Catering Service,Salmonella enterica,Confirmed,25,1.0,0.0
272,1998,March,Tennessee,,,,48,0.0,0.0
273,1998,March,Texas,,Virus,Suspected,78,,
274,1998,March,Texas,School/College/University,Norovirus genogroup II,Confirmed,125,60.0,0.0
275,1998,March,Utah,Private Home/Residence,Salmonella enterica,Suspected,7,1.0,0.0
276,1998,March,Virginia,Restaurant,Salmonella enterica,Confirmed,23,5.0,0.0
277,1998,March,Virginia,,Virus,Suspected,28,,
278,1998,March,Virginia,Restaurant,,,8,,
279,1998,March,Virginia,Restaurant,Norovirus genogroup I,Confirmed,56,1.0,0.0
280,1998,March,Washington,Restaurant,Scombroid toxin,Confirmed,2,0.0,0.0
281,1998,March,Washington,Restaurant,Hepatitis A,Confirmed,8,0.0,0.0
282,1998,March,Washington,Restaurant,,,2,0.0,0.0
283,1998,March,Washington,Restaurant,,,2,0.0,0.0
284,1998,March,Washington,,,,16,0.0,0.0
285,1998,March,Washington,Restaurant,,,3,6.0,0.0
286,1998,March,Washington,Restaurant,,,8,,
287,1998,March,Washington,Restaurant,,,2,0.0,0.0
288,1998,March,Wisconsin,,Norovirus genogroup I,Confirmed,65,1.0,0.0
289,1998,April,California,Restaurant,Shigella boydii,Confirmed,72,7.0,0.0
290,1998,April,California,Restaurant,,,19,0.0,0.0
291,1998,April,California,Catering Service,,,11,0.0,0.0
292,1998,April,California,,,,39,0.0,0.0
293,1998,April,California,Private Home/Residence,Salmonella enterica,Confirmed,7,,0.0
294,1998,April,California,Restaurant,,,7,0.0,0.0
295,1998,April,California,Restaurant,Clostridium perfringens,Confirmed,11,0.0,0.0
296,1998,April,Colorado,Restaurant,Bacillus cereus,Suspected,2,,0.0
297,1998,April,Colorado,Catering Service,Virus,Suspected,11,,0.0
298,1998,April,Colorado,Catering Service,Virus,Suspected,12,,0.0
299,1998,April,Florida,Child Daycare,Norovirus genogroup II,Confirmed,40,,
300,1998,April,Florida,,Salmonella enterica,Suspected,2,,
301,1998,April,Florida,Restaurant,Staphylococcus aureus,Suspected,4,0.0,0.0
302,1998,April,Florida,,Salmonella enterica,Confirmed,2,0.0,0.0
303,1998,April,Florida,,Norovirus genogroup I,Suspected,27,0.0,0.0
304,1998,April,Florida,Restaurant,Salmonella enterica,Suspected,4,0.0,0.0
305,1998,April,Florida,Restaurant,,,2,0.0,0.0
306,1998,April,Florida,Restaurant,,,2,0.0,0.0
307,1998,April,Florida,Catering Service,Clostridium perfringens,Suspected,3,0.0,0.0
308,1998,April,Florida,Restaurant,Clostridium perfringens,Suspected,4,0.0,0.0
309,1998,April,Florida,Restaurant,Virus,Suspected,3,1.0,0.0
310,1998,April,Florida,Restaurant,,,2,0.0,0.0
311,1998,April,Florida,Restaurant,Salmonella enterica,Suspected,3,1.0,0.0
312,1998,April,Florida,Restaurant,,,4,0.0,0.0
313,1998,April,Florida,Restaurant,,,3,0.0,0.0
314,1998,April,Florida,Restaurant,Vibrio parahaemolyticus,Suspected,5,0.0,0.0
315,1998,April,Florida,Private Home/Residence,Norovirus genogroup I,Suspected,12,2.0,0.0
316,1998,April,Florida,Restaurant,Bacillus cereus,Suspected,3,0.0,0.0
317,1998,April,Florida,Restaurant,,,3,2.0,0.0
318,1998,April,Florida,Restaurant,Staphylococcus aureus,Suspected,3,0.0,0.0
319,1998,April,Florida,Restaurant,Clostridium perfringens,Suspected,6,0.0,0.0
320,1998,April,Florida,Restaurant,Bacillus cereus,Suspected,2,0.0,0.0
321,1998,April,Florida,Restaurant,,,2,0.0,0.0
322,1998,April,Florida,Restaurant,,,2,0.0,0.0
323,1998,April,Florida,Restaurant,,,2,0.0,0.0
324,1998,April,Georgia,,Norovirus genogroup II,Confirmed,51,,
325,1998,April,Hawaii,Restaurant,,,19,0.0,0.0
326,1998,April,Hawaii,Private Home/Residence,Ciguatoxin,Confirmed,5,0.0,0.0
327,1998,April,Illinois,School/College/University,Salmonella enterica,Confirmed,46,1.0,0.0
328,1998,April,Indiana,Restaurant,Clostridium perfringens,Confirmed,18,,
329,1998,April,Iowa,Restaurant,Clostridium perfringens,Suspected,53,0.0,0.0
330,1998,April,Kansas,Catering Service,,,30,0.0,0.0
331,1998,April,Louisiana,Prison/Jail,Clostridium perfringens,Confirmed,65,0.0,0.0
332,1998,April,Louisiana,School/College/University,Shigella sonnei,Confirmed,47,5.0,0.0
333,1998,April,Maryland,Grocery Store,,,15,,
334,1998,April,Maryland,Restaurant,,,19,,
335,1998,April,Maryland,Restaurant,,,3,,
336,1998,April,Maryland,Restaurant,,,5,,
337,1998,April,Maryland,Restaurant,,,4,0.0,0.0
338,1998,April,Maryland,Restaurant,,,3,,
339,1998,April,Maryland,Restaurant,,,5,,
340,1998,April,Maryland,Restaurant,,,2,,
341,1998,April,Maryland,Grocery Store,,,32,,
342,1998,April,Maryland,Restaurant,,,6,,
343,1998,April,Maryland,Restaurant,,,3,,
344,1998,April,Massachusetts,Catering Service,Norovirus genogroup I,Confirmed,71,2.0,0.0
345,1998,April,Massachusetts,,,,33,,0.0
346,1998,April,Michigan,Restaurant,,,3,,
347,1998,April,Michigan,,,,4,,
348,1998,April,Michigan,Prison/Jail,,,5,,
349,1998,April,Michigan,,,,4,,
350,1998,April,Michigan,Catering Service,,,2,,
351,1998,April,Michigan,Catering Service,Bacillus cereus,Confirmed,25,,
352,1998,April,Michigan,Restaurant,,,7,,
353,1998,April,Michigan,Restaurant,,,4,0.0,0.0
354,1998,April,Michigan,Restaurant,,,2,0.0,0.0
355,1998,April,Michigan,Restaurant,,,18,0.0,0.0
356,1998,April,Michigan,Restaurant,,,15,0.0,0.0
357,1998,April,Minnesota,School/College/University,,,14,0.0,0.0
358,1998,April,Minnesota,Restaurant,Bacillus cereus,Suspected,5,0.0,0.0
359,1998,April,Multistate,,Salmonella enterica,Confirmed,209,47.0,
360,1998,April,New York,Religious Facility,Clostridium perfringens,Suspected,12,0.0,0.0
361,1998,April,New York,Restaurant,Clostridium perfringens,Suspected,18,0.0,0.0
362,1998,April,New York,Restaurant,,,16,0.0,0.0
363,1998,April,New York,Religious Facility,,,12,,
364,1998,April,Ohio,Restaurant,,,2,0.0,0.0
365,1998,April,Ohio,Restaurant,,,2,0.0,0.0
366,1998,April,Ohio,Restaurant,,,4,0.0,0.0
367,1998,April,Ohio,Restaurant,,,5,0.0,0.0
368,1998,April,Ohio,Restaurant,Bacillus cereus,Confirmed,2,0.0,0.0
369,1998,April,Ohio,Restaurant,,,3,0.0,0.0
370,1998,April,Ohio,Restaurant,,,4,1.0,0.0
371,1998,April,Ohio,Restaurant,,,800,4.0,0.0
372,1998,April,Ohio,Restaurant,,,2,0.0,0.0
373,1998,April,Ohio,Restaurant,,,4,,0.0
374,1998,April,Ohio,Restaurant,,,2,0.0,0.0
375,1998,April,Oregon,Restaurant,,,16,0.0,0.0
376,1998,April,Pennsylvania,Catering Service,,,20,0.0,0.0
377,1998,April,Pennsylvania,Restaurant,Clostridium perfringens,Confirmed,3,,
378,1998,April,Pennsylvania,,,,5,0.0,0.0
379,1998,April,Pennsylvania,Restaurant,,,21,0.0,0.0
380,1998,April,Texas,Restaurant,Bacterium,Suspected,18,,
381,1998,April,Texas,,,,15,,
382,1998,April,Utah,Restaurant,Salmonella enterica,Confirmed,22,2.0,0.0
383,1998,April,Virginia,,Scombroid toxin,Confirmed,6,,
384,1998,April,Virginia,,Norovirus genogroup I,Confirmed,67,,
385,1998,April,Virginia,Catering Service,Salmonella enterica,Confirmed,9,,0.0
386,1998,April,Washington,Nursing Home/Assisted Living Facility,,,27,,
387,1998,April,Washington,Private Home/Residence,Giardia intestinalis,Confirmed,3,0.0,0.0
388,1998,April,Washington,Restaurant,,,2,0.0,0.0
389,1998,April,Washington,Restaurant,,,2,0.0,0.0
390,1998,April,Washington,Restaurant,,,8,0.0,0.0
391,1998,April,Washington,,,,5,0.0,0.0
392,1998,April,Wisconsin,Restaurant,Norovirus genogroup I,Confirmed,22,1.0,0.0
393,1998,April,Wisconsin,,,,13,0.0,0.0
394,1998,May,California,Catering Service,Virus,Suspected,38,,
395,1998,May,California,Restaurant,,,100,,
396,1998,May,California,,Salmonella enterica,Confirmed,6,3.0,0.0
397,1998,May,California,,,,31,0.0,0.0
398,1998,May,California,,,,6,0.0,0.0
399,1998,May,California,Private Home/Residence,,,13,0.0,0.0
400,1998,May,California,Private Home/Residence,Ciguatoxin,Confirmed,8,0.0,0.0
401,1998,May,California,Restaurant,"Escherichia coli, Shiga toxin-producing",Confirmed,3,1.0,0.0
402,1998,May,California,Private Home/Residence,,,30,0.0,0.0
403,1998,May,California,Private Home/Residence,,,10,0.0,0.0
404,1998,May,California,Catering Service,,,16,0.0,0.0
405,1998,May,California,Private Home/Residence,,,15,0.0,0.0
406,1998,May,California,Private Home/Residence,,,16,0.0,0.0
407,1998,May,California,Restaurant,,,61,0.0,0.0
408,1998,May,California,Restaurant,,,5,0.0,0.0
409,1998,May,Colorado,Restaurant,Virus,Suspected,6,,
410,1998,May,Florida,Restaurant,Clostridium perfringens,Suspected,2,0.0,0.0
411,1998,May,Florida,Restaurant,,,3,0.0,0.0
412,1998,May,Florida,Restaurant,,,3,0.0,0.0
413,1998,May,Florida,Restaurant,Clostridium perfringens,Suspected,5,,
414,1998,May,Florida,Restaurant,Salmonella enterica,Suspected,3,0.0,0.0
415,1998,May,Florida,Restaurant,Norovirus genogroup I,Suspected,23,0.0,0.0
416,1998,May,Florida,Restaurant,,,7,0.0,0.0
417,1998,May,Florida,Restaurant,,,2,0.0,0.0
418,1998,May,Florida,Restaurant,,,3,0.0,0.0
419,1998,May,Florida,Restaurant,,,3,0.0,0.0
420,1998,May,Florida,Restaurant,,,3,0.0,0.0
421,1998,May,Florida,Restaurant,,,2,0.0,0.0
422,1998,May,Florida,Restaurant,,,2,0.0,0.0
423,1998,May,Florida,Restaurant,,,2,0.0,0.0
424,1998,May,Florida,Restaurant,Staphylococcus aureus,Suspected,2,0.0,0.0
425,1998,May,Florida,Restaurant,Bacillus cereus,Suspected,2,0.0,0.0
426,1998,May,Florida,Restaurant,Clostridium perfringens,Suspected,2,0.0,0.0
