case_id,food
96,unspecified
97,stir-fry
97,unspecified
97,lettuce-based salads unspecified
98,pork
98,bbq
98,beans
98,baked
99,hot dog
99,unspecified
100,beef
100,other
101,chicken
101,buffalo wings
102,chicken
102,other
103,oil
103,unspecified
104,stir-fry
104,unspecified
104,caesar salad
105,burrito
105,unspecified
106,hot dog
106,unspecified
107,unknown
108,pudding
108,chocolate
108,salad
108,unspecified
108,cake
108,carrot
109,unknown
110,salmon
110,unspecified
111,ethnic style
111,unspecified
112,ethnic style
112,unspecified
113,rice
113,unspecified
114,tuna dishes
114,unspecified
115,rice
115,unspecified
116,cream sauce
116,unspecified
117,ground beef
117,hamburger
118,wine
119,ground beef
119,hamburger
120,unknown
121,macaroni salad
122,crepe
122,unspecified
123,unknown
124,unknown
125,sandwich
125,chicken
126,eggs
126,unspecified
126,biscuits and gravy
127,unknown
128,unknown
129,sandwich
129,reuben
129,ground beef
129,hamburger
130,chicken
130,unspecified
130,coleslaw
131,taco
131,unspecified
132,ice
133,pita
134,chicken
134,unspecified
135,pizza
135,unspecified
136,unspecified fish
136,french fries
137,unknown
138,ground beef
138,unspecified
139,unknown
140,steak
140,prime rib
140,potato
140,baked
141,unknown
142,unknown
143,unknown
144,egg salad/egg salad sandwich
144,fish
144,white
145,unknown
146,unknown
147,unknown
148,deli meat
148,multiple
149,unknown
150,roast beef
150,unspecified
151,taco
151,beef
152,unknown
153,unknown
154,nuts
154,unspecified
155,shrimp
155,unspecified
156,unknown
157,unknown
158,unknown
159,unknown
160,chicken
160,nuggets/fingers
161,unknown
162,oysters
162,fried
163,unknown
164,caesar salad
165,pasta-based salads unspecified
166,seafood soup/stew
166,unspecified
166,butter
166,soda
166,unspecified
167,soda
167,unspecified
167,butter
167,seafood
167,unspecified
168,soup
168,other seafood chowder
168,butter
168,soda
168,other
169,unknown
170,unknown
172,unknown
173,soup
173,chicken
174,unknown
175,unknown
176,unknown
177,unknown
178,unknown
179,unknown
180,chicken
180,smoked
181,unknown
182,sausage
182,unspecified
183,chile relleno
183,unspecified
183,rice
183,unspecified
183,beans
183,unspecified
184,unknown
185,ice cream
185,unspecified
185,eggs
185,other
186,chicken
186,unspecified
186,rice
186,unspecified
186,beans
186,unspecified
187,fish
187,ahi
188,unknown
189,leaf lettuce
189,unspecified
190,salami
190,unspecified
191,taco
191,beef
192,nachos
192,unspecified
193,pasta
193,unspecified
193,chicken
193,unspecified
194,multiple foods
195,pizza
195,meat
196,chicken
196,bbq
197,beans
197,baked
198,rice
198,unspecified
198,beans
198,unspecified
199,steak
199,other
200,sandwich
200,unspecified
200,salad
200,unspecified
201,ground beef
201,cheeseburger
202,pasta
202,unspecified
202,chicken
202,unspecified
203,pork
203,bbq
204,fish
204,sole
205,pork
205,bbq
206,unknown
207,oysters
207,raw
208,sauces
208,unspecified
209,unknown
210,chicken
210,unspecified
211,ice
212,cream
212,unspecified
213,enchilada
213,chicken
214,ice
215,hot dog
215,unspecified
216,sandwich
216,chicken
217,unknown
218,coleslaw
219,steak
219,other
220,rice
220,unspecified
220,chicken
220,unspecified
220,beans
220,unspecified
221,cake
221,chocolate
222,bread
222,cornbread
222,chicken
222,unspecified
222,ham
222,unspecified
223,unknown
224,unknown
225,cake
225,unspecified
225,water
225,potato
225,unspecified
226,unspecified fish
227,tart
227,fruit
228,fish
228,swordfish
229,unknown
230,hollandaise sauce
231,mixed fruit
231,roast beef
231,unspecified
232,unknown
233,unknown
234,shrimp salad
235,unknown
236,milkshake
236,nachos
236,unspecified
237,unknown
238,other cheese
238,unspecified
238,french fries
239,unknown
240,unknown
241,chicken
241,unspecified
242,unknown
243,chili sauce
243,unspecified
243,hot dog
243,unspecified
244,french toast
244,unspecified
244,beef
244,jerky
245,pizza
245,unspecified
247,sushi
247,unspecified
248,rice
248,unspecified
248,chicken
248,unspecified
248,salad
248,unspecified
249,shrimp
249,unspecified
249,caesar salad
250,sandwich
250,submarine
251,pasta salad
252,potato salad
252,vegetable dip
252,unspecified
253,unknown
254,unknown
255,milk
255,1% milk unpasteurized
255,sauces
255,unspecified
256,multiple foods
257,chicken
257,unspecified
258,multiple foods
259,salad
259,unspecified
260,unknown
261,unknown
262,sandwich
262,submarine
263,chicken
263,fried
264,unknown
265,unknown
266,unknown
267,unknown
268,unknown
269,unknown
270,unknown
271,unknown
272,onion dip
273,hollandaise sauce
274,unknown
275,chicken
275,fried
276,unknown
277,unknown
278,lettuce
278,unspecified
279,turkey and stuffing
280,unknown
281,unknown
282,sandwich
282,unspecified
283,unknown
284,pie
284,unspecified
284,eggs
284,other
285,unknown
286,rice
286,unspecified
286,chicken
286,unspecified
287,unknown
288,tuna
288,unspecified
289,unknown
290,unknown
291,unknown
292,unknown
293,unknown
294,unknown
295,unknown
296,unknown
298,unknown
299,unknown
300,unknown
301,cake
301,cheese
301,pasta
301,unspecified
302,unknown
303,pizza
303,meat
304,pate
304,unspecified
305,rice
305,unspecified
305,beans
305,unspecified
306,salad
306,unspecified
307,unknown
308,hot dog
308,unspecified
309,chicken
309,bbq
310,rice
310,spanish
311,multiple foods
312,green salad
313,chicken
313,buffalo wings
314,chicken
314,nuggets/fingers
315,chicken
315,buffalo wings
316,sausage
316,unspecified
317,beef
317,unspecified
317,potato
317,unspecified
318,pita
318,chicken salad
319,other cheese
319,unspecified
319,ground beef
319,unspecified
320,chicken
320,other
321,rice
321,unspecified
321,chicken
321,fried
321,beans
321,unspecified
322,sandwich
322,gyro
323,crab
323,unspecified
323,shrimp
323,unspecified
324,deviled eggs
324,salad
324,unspecified
325,rice
325,yellow
326,ground beef
326,cheeseburger
327,fish
327,grouper
327,unspecified
327,salmon
327,unspecified
328,multiple foods
329,onion
329,unspecified
330,chicken
330,fried
331,beef
331,stroganoff
332,chicken
332,fried
333,salad
333,unspecified
334,unknown
335,fish
335,papio
336,unknown
337,pork
337,unspecified
338,taco
338,unspecified
339,unknown
340,beets
340,unspecified
340,pudding
340,bread
341,unspecified fish
342,ham
342,unspecified
343,unknown
344,cinnamon roll
345,pizza
345,cheese
346,unknown
347,pizza
347,unspecified
348,unknown
349,macaroni and cheese
350,turkey
350,unspecified
350,ham
350,unspecified
351,unknown
352,unknown
353,chicken
353,unspecified
353,cake
353,unspecified
354,unknown
355,sandwich
355,chicken
356,beef
356,unspecified
356,chicken
356,unspecified
357,eggs
357,unspecified
358,pizza
358,unspecified
359,steak
359,unspecified
359,shrimp
359,unspecified
359,potato
359,unspecified
360,sandwich
360,submarine
361,salad bar
362,chicken
362,unspecified
363,nachos and cheese
364,ground beef
364,meatballs
364,turkey
364,unspecified
364,ham
364,unspecified
365,pizza
365,unspecified
365,cake
365,unspecified
366,unknown
367,multiple foods
368,ethnic style
368,unspecified
369,cereal
369,oat
370,chicken
370,curry
371,green salad
372,steak
372,beef tips
372,seafood newberg
373,lettuce
373,unspecified
374,unknown
375,unknown
376,unknown
377,sandwich
377,cheese
378,pizza
378,unspecified
379,rice
380,unknown
381,unknown
382,unspecified vegetables
383,chicken
383,kung pao
384,shredded chicken
385,fried rice
385,unspecified
386,pork fried rice
386,pork
386,bbq
387,unknown
388,unknown
389,unknown
390,salad
390,unspecified
390,butter
390,water
391,unknown
392,beef
392,brisket
394,fried rice
394,unspecified
394,soup
394,egg drop
394,egg rolls
395,tuna
395,unspecified
396,salad
396,unspecified
397,pie
397,unspecified
398,multiple foods
399,oysters
399,unspecified
400,unknown
401,unknown
402,unknown
403,fish
403,codfish
404,unknown
405,unknown
406,unknown
407,seabass
407,unspecified
407,oysters
407,unspecified
409,unknown
410,unknown
411,unknown
412,unknown
413,fish
413,scrod
414,unknown
415,fruit salad
416,unknown
417,unknown
418,unknown
419,fruit salad
420,unknown
421,oysters
421,unspecified
422,sandwich
422,unspecified
422,pasta
422,unspecified
422,unspecified fruit
423,unknown
424,blue cheese dressing
425,pizza
425,unspecified
426,multiple foods
427,salad
427,unspecified
428,green salad
429,shrimp
429,unspecified
430,fish
430,dolphin
431,shrimp
431,unspecified
432,dips
432,unspecified
433,chicken
433,unspecified
433,potato
433,mashed
434,fried rice
434,unspecified
435,soda
435,unspecified
435,ground beef
435,hamburger
435,french fries
436,chicken and noodles
437,ground beef
437,unspecified
438,ethnic style
438,unspecified
438,rice
438,unspecified
439,gravy
439,beef
440,chicken
440,unspecified
441,ethnic style
441,unspecified
442,fried rice
442,unspecified
442,chicken
442,fried
443,chicken
443,unspecified
443,caesar salad
444,chicken
444,other
445,sandwich
445,chicken
446,shrimp
446,unspecified
447,ground beef
447,cheeseburger
447,pork
447,bacon
448,ground beef
448,hamburger
449,tuna
449,unspecified
450,pizza
450,meat
451,beef
451,stew
452,beef
452,bbq
453,salad
453,unspecified
454,fried rice
454,unspecified
455,fish
455,baracuda
456,salad
456,unspecified
457,lobster
457,unspecified
457,shrimp
457,unspecified
458,unknown
459,unknown
460,fish
460,goatfish (weke)
460,unspecified
461,pork
461,kalua pig
462,yellowfin tuna
463,unknown
464,dessert unspecified
465,unknown
466,lettuce-based salads unspecified
466,potato
466,baked
467,unknown
468,lettuce-based salads unspecified
469,unknown
470,coleslaw
471,deli meat
471,unspecified
472,unknown
473,unknown
474,roast beef
474,unspecified
474,ham
474,unspecified
475,shrimp dishes unspecified
476,unknown
477,unknown
478,sauces
478,unspecified
479,tuna steak
480,unknown
481,pizza
481,meat and vegetable
482,pasta salad
483,ground beef
483,cheeseburger
484,fruit salad
485,sandwich
485,submarine
486,unknown
487,unknown
488,unknown
489,unknown
491,sandwich
491,unspecified
492,ground beef
492,hamburger
492,onion
492,unspecified
493,chicken
493,unspecified
493,shrimp
493,unspecified
493,salad
493,unspecified
494,sandwich
494,turkey club
494,spinach
494,unspecified
496,taco
496,beef
497,chicken salad
498,chicken salad
499,unknown
500,chicken
500,unspecified
500,coleslaw
501,unknown food
502,vietnamese
502,unspecified
503,sandwich
503,ham
504,fried rice
504,unspecified
505,multiple foods
506,oysters
506,unspecified
507,ground beef
507,unspecified
508,alfalfa sprouts
509,caesar salad
509,eggs
509,other
510,sandwich
510,other specialty
511,unknown
512,unknown
513,unknown
514,lettuce-based salads unspecified
515,other food
516,lettuce-based salads unspecified
517,unknown
518,unknown
519,unknown
520,ice cream bars
521,unknown
522,unknown
523,unknown
524,unknown
525,gravy
525,unspecified
525,roast beef
525,unspecified
525,hot dog
525,unspecified
526,salad
526,unspecified
528,unknown
529,sausage
529,unspecified
529,beef
529,brisket
530,oysters
530,raw
531,unknown
532,ground beef
532,hamburger
533,ground beef
533,hamburger
534,doughnuts
534,unspecified
535,mango
535,unspecified
536,unknown
537,unknown
538,sandwich
538,unspecified
539,unknown
540,taco or nacho salad
541,unspecified fish
542,unknown
543,oysters
543,unspecified
544,unknown
545,alfalfa sprouts
546,pasta salad
547,fish
547,ahi
548,unknown
549,pizza
549,meat
550,unknown
551,unknown
552,beef
552,bbq
553,seafood
553,coleslaw
554,taco
554,beef
555,fried rice
555,unspecified
556,pork
556,bbq
557,ethnic style
557,unspecified
558,lasagna
558,unspecified
559,enchilada
559,unspecified
559,taco
559,unspecified
560,shrimp creole
561,chicken
561,nuggets/fingers
562,pie
562,unspecified
562,mousse
563,veal
563,other
564,rice
564,unspecified
564,chicken
564,unspecified
565,multiple foods
566,oysters
566,raw
567,fish
567,stuffed flounder
568,shrimp
568,unspecified
569,salad bar
570,beef
570,unspecified
570,chicken
570,unspecified
570,french fries
571,ethnic style
571,unspecified
572,french toast
572,unspecified
573,potato
573,mashed
574,pork
574,bbq
575,unspecified fruit
575,cake
575,brownie
575,cookies
575,unspecified
576,yellowfin tuna
577,crab
577,unspecified
578,unknown
579,sausage
579,other
580,fish
580,akule
581,unknown
582,fish
582,parrot
583,unknown
584,lettuce
584,unspecified
585,unknown
586,potato salad
586,macaroni salad
587,pork
587,unspecified
588,unknown
589,unknown
590,unknown
591,bread
591,cornbread dressing
591,crawfish/crayfish
591,unspecified
591,eggplant dressing
592,unknown
593,ground beef
593,hamburger
594,unknown
595,sausage
595,unspecified
595,crab
595,unspecified
595,cookies
595,unspecified
596,unknown
597,unknown
598,crab soup
599,unknown
600,lettuce-based salads unspecified
601,unknown
602,cake
602,unspecified
603,french fries
604,eggs
604,unspecified
604,ham
604,unspecified
604,cheese
604,unspecified
604,potato
604,unspecified
605,bread
605,indian
606,unknown
607,unknown
608,eggs
608,unspecified
608,bread
608,unspecified
608,pork
608,bacon
609,pizza
609,unspecified
610,pork
610,other
611,ground beef
611,hamburger
611,french fries
612,rice
612,white
613,chicken
613,nuggets/fingers
614,salad
614,unspecified
615,unknown
616,unknown
617,sandwich
617,ham
618,sandwich
618,ham
619,sandwich
619,submarine
620,sandwich
620,ham
620,sandwich
620,turkey
621,lettuce
621,unspecified
622,cucumber
622,unspecified
623,mixed fruit
624,taco
624,beef
627,unknown
628,unspecified vegetables
629,unknown
630,unknown
631,tuna
631,unspecified
632,guinea pig
633,multiple foods
634,tuna burger
635,unknown
636,unknown
637,gravy
637,unspecified
637,chicken
637,roasted
638,unknown
639,chicken
639,unspecified
640,shrimp
640,unspecified
641,sandwich
641,chicken
642,refried beans
642,unspecified
643,unknown
644,unknown
646,unknown
647,pasta salad
648,unknown
649,unknown
650,unknown
651,unknown
652,unknown
653,chicken
653,buffalo wings
653,sandwich
653,hoagie
654,unknown
655,oysters
655,unspecified
656,ice cream
656,unspecified
656,eggs
656,other
657,unknown
658,unknown
659,hot dog
659,unspecified
660,unknown
661,unknown
663,chicken
663,unspecified
664,unknown
665,unknown
666,fruit salad
667,pizza
667,meat
668,cheddar cheese
668,unspecified
668,cheddar cheese
668,unpasteurized
669,turkey
669,unspecified
669,gravy
669,unspecified
670,chile rellenos
671,chicken
671,unspecified
671,mixed vegetables
671,unspecified
672,unknown
673,unknown
674,unknown
675,carnitas
675,unspecified
676,unknown
677,ground beef
677,hamburger
678,unknown
679,pasta
679,unspecified
680,peppers
680,green
681,unknown
682,peppers
682,chili
683,tomatilla
683,salsa
683,unspecified
684,burrito
684,bean
685,oysters
685,raw
686,other food
687,unknown
688,other cheese
688,unspecified
688,deli meat
688,unspecified
689,mousse
689,salad dressing
689,unspecified
690,fish
690,grouper
690,unspecified
691,banana
691,unspecified
691,ice cream
691,unspecified
692,lasagna
692,unspecified
693,fish
693,dolphin
694,chicken
694,unspecified
695,pizza
695,unspecified
696,coleslaw
697,pudding
697,rice
698,tuna steak
699,deli meat
699,unspecified
699,lettuce
699,unspecified
700,pork
700,roasted
701,unknown
702,ground beef
702,cheeseburger
703,sandwich
703,turkey
704,steak
704,prime rib
705,sandwich
705,unspecified
706,pizza
706,meat
707,fish
707,amberjack
708,unspecified fish
709,fish
709,mahi mahi
710,unspecified fish
711,tuna
711,unspecified
712,cheese sauce
712,potato
712,baked
713,unknown
714,unknown
715,ground beef
715,meatballs
716,unknown
717,unknown
719,unknown
720,meat
720,unspecified
721,other milk
721,unpasteurized
722,unknown
723,unknown
724,frosting/icing
724,whipped cream
724,strudel
724,unspecified
725,unknown
726,fish
726,baracuda
727,ground beef
727,hamburger
727,french fries
728,taco
728,unspecified
728,beef/steak dish
728,other
729,pizza
729,unspecified
730,mushrooms
730,unspecified
730,shrimp
730,unspecified
731,ground beef
731,hamburger
732,unknown
733,coleslaw
734,salsa
734,unspecified
735,unspecified vegetables
735,ranch dressing
736,unknown
737,chicken
737,unspecified
737,beef
737,unspecified
738,rice
738,unspecified
739,turkey
739,unspecified
739,roast beef
739,unspecified
740,unknown food
741,sandwich
741,submarine
742,ice cream
742,unspecified
743,unknown
744,unknown
745,oysters
745,raw
745,clams
745,unspecified
746,parsley
746,unspecified
747,chicken
748,unknown
749,chicken
749,unspecified
750,sandwich
750,unspecified
750,potato
750,unspecified
750,macaroni salad
751,unknown
752,unknown
753,unknown
754,tuna steak
755,other milk
755,unpasteurized
756,unknown
757,tuna burger
758,tuna burger
759,tuna burger
760,coleslaw
761,pizza
761,unspecified
762,unknown
763,unknown
764,unknown
765,eggs
765,unspecified
766,lettuce-based salads unspecified
767,unknown
768,oysters
768,raw
769,beef
769,bbq
770,other cheese
770,unspecified
770,deli meat
770,sliced ham
770,deli meat
770,sliced turkey
771,unknown
772,unknown
773,roast beef
773,unspecified
773,turkey
773,unspecified
774,unknown
775,other milk
775,unpasteurized
780,unknown
781,rice
781,unspecified
781,ground beef
781,sausage
782,unknown
783,unknown
784,unknown
785,unknown
786,unknown
787,unknown
788,mushrooms
788,unspecified
789,sandwich
789,submarine
790,multiple cheeses
790,unspecified
790,other cheese
790,pasteurized
791,unknown
792,pizza
792,meat
793,unknown
794,unknown
795,unknown
796,unknown
797,unknown
798,unknown
799,unknown
800,melon
800,unspecified
800,sausage
800,unspecified
801,guacamole
802,cake
802,unspecified
803,beans
803,baked
804,stuffed shells
804,unspecified
805,soup
805,wonton
805,pork fried rice
806,fish
806,white
807,fish
807,dolphin
808,burrito
808,bean
808,burrito
808,beef
809,omelette
809,pancakes
809,unspecified
810,pizza
810,unspecified
810,rolls
810,cake
810,unspecified
811,macaroni and cheese
811,lasagna
811,unspecified
812,fish
812,grouper
812,unspecified
812,snapper
812,unspecified
813,cream sauce
813,unspecified
813,ravioli
813,unspecified
814,nachos
814,unspecified
814,ribs
814,pork
815,burrito
815,beef
815,burrito
815,bean
816,chicken
816,unspecified
816,ribs
816,pork
817,pizza
817,cheese
818,unknown
819,unknown
820,house salad
821,chicken
821,unspecified
821,caesar salad
822,other cheese
822,unspecified
823,chicken
823,bbq
823,salad bar
824,ground beef
824,hamburger
824,ground beef
824,cheeseburger
824,french fries
825,chicken
825,unspecified
826,ice
827,parsley
827,unspecified
828,pork
828,bbq
829,eggs
829,other
830,sandwich
830,turkey
831,creme brulee
832,fried rice
832,unspecified
833,unknown
834,unknown
835,pasta
835,unspecified
836,unknown
837,strawberries
837,honeydew melon
838,gravy
838,unspecified
838,pineapple
838,unspecified
838,potato
838,unspecified
839,unspecified beverage
840,cabbage
840,unspecified
841,rice dishes
841,unspecified
842,beef
842,unspecified
842,chicken
842,unspecified
843,unknown
844,unknown
845,unknown
846,unknown
847,pizza
847,vegetable
848,unknown
849,sauces
849,unspecified
850,unknown
851,unknown
852,shell egg
852,other
853,canoli
853,unspecified
853,cream puff
854,burrito
854,chicken
855,unknown
856,chicken
856,unspecified
857,rice
857,unspecified
857,chicken
857,unspecified
858,macaroni and cheese
858,salad
858,unspecified
859,sandwich
859,beef
860,ground beef
860,cheeseburger
861,chicken
861,unspecified
863,fish eggs
863,unspecified
863,french fries
863,coleslaw
864,sandwich
864,gyro
865,taco
865,beef
866,unknown
867,mints
867,unspecified
868,chicken
868,kiev
869,unknown
870,unknown
871,parsley
871,unspecified
872,taco or nacho salad
873,cake
873,unspecified
873,tabouleh salad
876,strawberries
877,unknown
878,unknown
879,chicken
879,milan
880,tuna burger
881,macaroni salad
882,macaroni salad
883,fish
883,bluefish
884,unknown
885,unknown
886,unknown
887,unknown
888,unknown
889,corned beef
889,hash
890,roast beef
890,unspecified
891,unknown
892,unknown
893,unknown
894,unknown
895,unknown
896,unknown
897,seafood
897,unspecified
900,ham salad
901,ice cream
901,homemade
902,chicken
902,unspecified
903,oysters
903,unspecified
904,unknown
905,unknown
906,unknown
907,pork
907,unspecified
908,unknown
909,oysters
909,raw
910,unknown
911,tamale
911,unspecified
912,unknown
913,unknown
914,fried rice
914,unspecified
915,salsa
915,unspecified
916,crab
916,cooked
917,crab
917,unspecified
918,fish
918,mahi mahi
919,meat
919,unspecified
920,ham
920,unspecified
921,unknown
922,unknown
923,taco
923,beef
924,french fries
925,seafood pasta
926,pizza
926,meat
927,hot dog
927,unspecified
928,pizza
928,meat and vegetable
929,unknown
930,burrito
930,bean
930,burrito
930,beef
931,unspecified fruit
932,pork
932,roasted
933,unknown
934,burrito
934,unspecified
935,unknown
936,burrito
936,unspecified
937,chicken
937,unspecified
938,unknown
939,burrito
939,unspecified
940,unknown
941,fish
941,palani (surgeon)
942,fried rice
942,unspecified
943,rice pilaf
943,cake
943,unspecified
944,unknown
945,unknown
946,unknown
947,unknown
948,caesar salad
949,goat
949,stew
949,chicken
949,sweet and sour
950,unknown
951,unknown
952,crab
952,unspecified
953,fish
953,trout
954,sauces
954,unspecified
954,sauces
954,unspecified
955,cookies
955,unspecified
956,multiple cheeses
956,unspecified
957,cake
957,unspecified
958,fish
958,scrod
959,salad bar
960,onion
960,unspecified
961,sandwich
961,chicken
962,chicken
962,unspecified
962,roast beef
962,unspecified
963,soup
963,chicken
964,nuts
964,unspecified
965,ground beef
965,sausage
965,shrimp dishes unspecified
965,kidney bean
966,unknown
967,potato salad
969,unknown
970,pasta
970,unspecified
971,unknown
972,cake
972,unspecified
973,ground beef
973,meatballs
974,unknown
975,unknown
976,unknown
977,sandwich
977,turkey
978,burrito
978,unspecified
979,chicken
979,unspecified
979,potatoes
979,cheddar
980,bear
980,unspecified
981,unknown
982,unknown
983,unknown
984,beef
984,unspecified
985,unknown
986,chicken salad
986,tuna salad
986,lettuce
986,unspecified
986,carrots
986,unspecified
987,oysters
987,raw
988,unknown
989,salad
989,unspecified
990,unknown
991,unknown
992,unknown
993,lettuce
993,unspecified
994,unknown
995,unknown
996,eggs
996,unspecified
997,unknown
998,unknown
999,chile relleno
999,unspecified
1000,eggs
1000,unspecified
1001,unknown
1002,turkey salad
1003,tuna
1003,unspecified
1004,unknown
1005,unknown
1006,hollandaise sauce
1006,fish
1006,halibut
1006,crab
1006,unspecified
1007,gumbo
1007,unspecified
1008,chicken
1008,unspecified
1009,tortilla
1009,unspecified
1010,crab
1010,unspecified
1010,shrimp
1010,unspecified
1011,chicken
1011,fried
1012,sour cream
1012,guacamole
1013,ground beef
1013,cheeseburger
1014,chicken
1014,unspecified
1015,crab
1015,unspecified
1016,fish salad
1017,chicken
1017,nuggets/fingers
1018,seafood
1018,other
1019,eggs
1019,unspecified
1020,multiple foods
1021,coleslaw
1022,chicken
1022,other
1023,sandwich
1023,gyro
1024,coleslaw
1025,pizza
1025,meat
1026,ethnic style
1026,unspecified
1027,rice
1027,unspecified
1027,pork
1027,unspecified
1027,beans
1027,unspecified
1028,seafood salad
1029,fish
1029,mahi mahi
1030,fish eggs
1030,unspecified
1031,fish
1031,palani (surgeon)
1032,tortilla
1032,unspecified
1032,beans
1032,unspecified
1033,pork
1033,kalua pig
1034,chicken
1034,tandori
1035,unknown
1036,unknown
1037,unknown
1038,unknown
1039,green beans
1039,unspecified
1040,vegetable dip
1040,unspecified
1040,sandwich
1040,unspecified
1040,mixed vegetables
1040,unspecified
1041,soup
1041,pork-based
1041,pork
1041,other
1041,corn
1041,unspecified
1042,unknown
1043,soup
1043,beef-based
1043,fish
1043,gifilte
1043,lettuce
1043,unspecified
1044,beef
1044,unspecified
1045,chicken
1045,unspecified
1045,chick peas
1046,pizza
1046,meat
1047,unspecified fish
1047,french fries
1048,unknown
1050,unknown
1051,lobster
1051,unspecified
1052,raw milk
1053,pizza
1053,unspecified
1054,burrito
1054,unspecified
1054,taco
1054,unspecified
1055,unknown
1056,other milk
1056,unspecified
1056,spaghetti
1056,unspecified
1057,pizza
1057,unspecified
1058,ham
1058,unspecified
1059,unknown
1060,pasta-based salads unspecified
1061,pork
1061,roasted
1062,unknown
1063,hot dog
1063,unspecified
1064,unknown
1065,stuffing/gravy
1066,unknown
1067,swiss cheese
1067,unspecified
1068,rice
1068,unspecified
1068,fried rice
1068,unspecified
1069,macaroni and cheese
1069,deli meat
1069,sliced turkey ham
1070,chicken
1070,marsala
1070,tuna
1070,unspecified
1071,turkey
1071,unspecified
1073,unknown
1074,cake
1074,unspecified
1075,unknown
1076,unknown
1077,unknown
1078,unknown
1079,unknown
1080,strawberries
1081,marinara sauce
1082,unknown
1083,ice cream
1083,soft serve
1084,mussels
1084,unspecified
1085,unknown
1086,unknown
1087,unknown
1088,unknown
1089,unknown
1090,fish
1090,escolar
1091,unknown
1092,cake
1092,chocolate
1093,crab salad
1093,unspecified grains
1094,unknown
1095,unknown
1096,potato salad
1097,unknown
1098,refried beans
1098,unspecified
1099,unknown
1100,oysters
1100,unspecified
1101,stuffing/gravy
1102,fruit punch
1102,unspecified
1103,clams
1103,unspecified
1104,pork fried rice
1105,fried rice
1105,unspecified
1106,cheese sauce
1106,cheese dip
1106,taco dip
1107,ice
1108,chicken
1108,nuggets/fingers
1109,ethnic style
1109,unspecified
1110,crab
1110,unspecified
1111,unknown
1112,manicotti
1112,unspecified
1113,chicken
1113,buffalo wings
1114,deli meat
1114,multiple
1115,rice
1115,unspecified
1115,seafood
1115,unspecified
1115,oysters
1115,unspecified
1116,condiment
1116,unspecified
1116,sandwich
1116,tuna fish
1117,pork
1117,unspecified
1117,rice
1117,unspecified
1117,beans
1117,unspecified
1118,caesar salad
1118,antipasto
1119,fish
1119,wahanui
1120,fish
1120,baracuda
1121,eggs
1121,unspecified
1121,smoked meat
1121,unspecified
1122,unknown
1123,unknown
1124,unknown
1125,unknown
1126,unknown
1127,unknown
1128,unknown
1129,unknown
1130,unknown
1131,unknown
1132,unknown
1133,unknown
1134,unknown
1135,chicken
1135,baked
1136,fish
1136,trout
1137,unknown
1138,pork fried rice
1139,unknown
1140,sandwich
1140,tuna fish
1141,ground beef
1141,cheeseburger
1141,pork
1141,bacon
1142,salad
1142,unspecified
1143,pizza
1143,unspecified
1144,turkey
1144,unspecified
1145,salad
1145,unspecified
1146,shrimp
1146,unspecified
1146,fish
